id,title,description,category,priority
2330,EV-109 dashboard display is flickering intermittently.,EV-109 dashboard display is flickering intermittently.,Vehicle,Critical
2331,Issue: Driver reported feeling unwell and requested a shift change.,Driver reported feeling unwell and requested a shift change.,Driver,High
2332,Issue: EV-127 battery temperature is unusually high during operation.,EV-127 battery temperature is unusually high during operation.,Battery,Low
2333,Customer reported a long detour during the ride.,Customer reported a long detour during the ride.,Ride,High
2334,Issue: Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,High
2335,Issue: Customer complained about driver behavior during the ride.,Customer complained about driver behavior during the ride.,Customer,Medium
2336,Report: EV-104 battery temperature is unusually high during operation.,EV-104 battery temperature is unusually high during operation.,Battery,High
2337,Telematics unit on EV-100 stopped sending data.,Telematics unit on EV-100 stopped sending data.,Technical,Medium
2338,"EV-124 shuts down unexpectedly, suspected battery fault.","EV-124 shuts down unexpectedly, suspected battery fault.",Battery,Critical
2339,Delhi North Hub is operating near full capacity with no available parking.,Delhi North Hub is operating near full capacity with no available parking.,Hub Operations,Medium
2340,Issue: EV-120 requires software update for the onboard diagnostics system.,EV-120 requires software update for the onboard diagnostics system.,Maintenance,Low
2341,Alert: GPS tracking for EV-100 is showing an incorrect location.,GPS tracking for EV-100 is showing an incorrect location.,Technical,Low
2342,Issue: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Low
2343,Alert: EV-119 broke down during operation near Mumbai East Hub.,EV-119 broke down during operation near Mumbai East Hub.,Vehicle,High
2344,"EV-125 shuts down unexpectedly, suspected battery fault.","EV-125 shuts down unexpectedly, suspected battery fault.",Battery,High
2345,Report: Ride was cancelled midway without explanation for EV-127.,Ride was cancelled midway without explanation for EV-127.,Ride,Low
2346,Issue: Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,Low
2347,Refund for a cancelled ride has not been processed.,Refund for a cancelled ride has not been processed.,Payment,Medium
2348,Report: EV-109 is not charging at station 6.,EV-109 is not charging at station 6.,Charging,Medium
2349,Alert: Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,High
2350,Issue: Customer requested a refund for a cancelled ride.,Customer requested a refund for a cancelled ride.,Customer,Medium
2351,Alert: Driver has not arrived for the assigned shift at Pune Central Hub.,Driver has not arrived for the assigned shift at Pune Central Hub.,Driver,Low
2352,Refund for a cancelled ride has not been processed.,Refund for a cancelled ride has not been processed.,Payment,High
2353,Issue: EV-108 shows sudden battery drain even when parked.,EV-108 shows sudden battery drain even when parked.,Battery,Critical
2354,Issue: Battery health indicator for EV-101 has degraded significantly this month.,Battery health indicator for EV-101 has degraded significantly this month.,Battery,High
2355,Report: Customer reported a long detour during the ride.,Customer reported a long detour during the ride.,Ride,Medium
2356,Report: General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Medium
2357,Alert: EV-126 dashboard display is flickering intermittently.,EV-126 dashboard display is flickering intermittently.,Vehicle,Critical
2358,Security gate at Pune Central Hub is malfunctioning.,Security gate at Pune Central Hub is malfunctioning.,Hub Operations,High
2359,Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,Medium
2360,Alert: Pune Central Hub reported a power outage affecting charging operations.,Pune Central Hub reported a power outage affecting charging operations.,Hub Operations,Medium
2361,Alert: Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,Medium
2362,Issue: EV-105 tyre pressure warning light is on.,EV-105 tyre pressure warning light is on.,Vehicle,Critical
2363,Report: Driver reported feeling unwell and requested a shift change.,Driver reported feeling unwell and requested a shift change.,Driver,Medium
2364,Issue: Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,Medium
2365,Issue: EV-110 is due for scheduled maintenance and has not been serviced.,EV-110 is due for scheduled maintenance and has not been serviced.,Maintenance,Critical
2366,Report: Customer requested a refund for a cancelled ride.,Customer requested a refund for a cancelled ride.,Customer,Medium
2367,Report: Suggestion received to add more charging stations near Bangalore South Hub.,Suggestion received to add more charging stations near Bangalore South Hub.,Other,High
2368,Backend sync issue causing duplicate ride records at Pune Central Hub.,Backend sync issue causing duplicate ride records at Pune Central Hub.,Technical,High
2369,Report: GPS tracking for EV-101 is showing an incorrect location.,GPS tracking for EV-101 is showing an incorrect location.,Technical,Medium
2370,Report: EV-128 is due for scheduled maintenance and has not been serviced.,EV-128 is due for scheduled maintenance and has not been serviced.,Maintenance,High
2371,Report: EV-115 is due for scheduled maintenance and has not been serviced.,EV-115 is due for scheduled maintenance and has not been serviced.,Maintenance,High
2372,Alert: GPS tracking for EV-122 is showing an incorrect location.,GPS tracking for EV-122 is showing an incorrect location.,Technical,Low
2373,Report: EV-107 brakes feel soft and need inspection.,EV-107 brakes feel soft and need inspection.,Vehicle,Critical
2374,Alert: Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,High
2375,Alert: Refund for a cancelled ride has not been processed.,Refund for a cancelled ride has not been processed.,Payment,Low
2376,Alert: EV-102 is due for scheduled maintenance and has not been serviced.,EV-102 is due for scheduled maintenance and has not been serviced.,Maintenance,Low
2377,Issue: Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,Low
2378,Report: EV-110 broke down during operation near Bangalore South Hub.,EV-110 broke down during operation near Bangalore South Hub.,Vehicle,Critical
2379,Alert: EV-123 broke down during operation near Delhi North Hub.,EV-123 broke down during operation near Delhi North Hub.,Vehicle,High
2380,Security gate at Bangalore South Hub is malfunctioning.,Security gate at Bangalore South Hub is malfunctioning.,Hub Operations,Critical
2381,Alert: Security gate at Bangalore South Hub is malfunctioning.,Security gate at Bangalore South Hub is malfunctioning.,Hub Operations,Critical
2382,Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,Medium
2383,Report: Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,Medium
2384,Issue: Driver flagged a scheduling conflict for the upcoming shift at Mumbai East Hub.,Driver flagged a scheduling conflict for the upcoming shift at Mumbai East Hub.,Driver,Medium
2385,"Report: EV-114 shuts down unexpectedly, suspected battery fault.","EV-114 shuts down unexpectedly, suspected battery fault.",Battery,Medium
2386,Customer was charged but booking was not confirmed.,Customer was charged but booking was not confirmed.,Customer,Low
2387,Report: EV-120 shows sudden battery drain even when parked.,EV-120 shows sudden battery drain even when parked.,Battery,Critical
2388,Alert: Mumbai East Hub is operating near full capacity with no available parking.,Mumbai East Hub is operating near full capacity with no available parking.,Hub Operations,Critical
2389,Report: Duplicate payment charged for a single ride.,Duplicate payment charged for a single ride.,Payment,Low
2390,Alert: EV-103 requires software update for the onboard diagnostics system.,EV-103 requires software update for the onboard diagnostics system.,Maintenance,Low
2391,Report: Charging cable at station 6 appears damaged and vehicle is not accepting charge.,Charging cable at station 6 appears damaged and vehicle is not accepting charge.,Charging,Medium
2392,Report: Charging session for EV-103 keeps disconnecting randomly.,Charging session for EV-103 keeps disconnecting randomly.,Charging,High
2393,Report: Driver has not arrived for the assigned shift at Mumbai East Hub.,Driver has not arrived for the assigned shift at Mumbai East Hub.,Driver,Low
2394,Report: EV-114 is making unusual noise from the motor.,EV-114 is making unusual noise from the motor.,Vehicle,Critical
2395,Alert: EV-123 is not charging at station 4.,EV-123 is not charging at station 4.,Charging,Medium
2396,Issue: Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,Medium
2397,Report: EV-101 is making unusual noise from the motor.,EV-101 is making unusual noise from the motor.,Vehicle,Critical
2398,Report: Driver has not arrived for the assigned shift at Pune Central Hub.,Driver has not arrived for the assigned shift at Pune Central Hub.,Driver,Medium
2399,Report: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,High
2400,Report: Backend sync issue causing duplicate ride records at Bangalore South Hub.,Backend sync issue causing duplicate ride records at Bangalore South Hub.,Technical,High
2401,Charging stops after a few minutes for EV-112 at station 5.,Charging stops after a few minutes for EV-112 at station 5.,Charging,Medium
2402,"Issue: EV-103 shuts down unexpectedly, suspected battery fault.","EV-103 shuts down unexpectedly, suspected battery fault.",Battery,High
2403,Report: Payment gateway timeout occurred during checkout.,Payment gateway timeout occurred during checkout.,Payment,Medium
2404,Issue: EV-129 AC is not working properly.,EV-129 AC is not working properly.,Vehicle,Critical
2405,Report: Customer support ticket unresolved for more than 3 days.,Customer support ticket unresolved for more than 3 days.,Customer,High
2406,Report: EV-113 broke down during operation near Mumbai East Hub.,EV-113 broke down during operation near Mumbai East Hub.,Vehicle,Critical
2407,Issue: General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,High
2408,Issue: Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,Critical
2409,Report: Charging session for EV-122 keeps disconnecting randomly.,Charging session for EV-122 keeps disconnecting randomly.,Charging,Critical
2410,Issue: General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Low
2411,Issue: Push notifications for ride status are not being delivered.,Push notifications for ride status are not being delivered.,Technical,Medium
2412,Alert: EV-110 is making unusual noise from the motor.,EV-110 is making unusual noise from the motor.,Vehicle,Medium
2413,Ride pickup location did not match the app location.,Ride pickup location did not match the app location.,Ride,Medium
2414,Alert: Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,High
2415,Issue: Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,High
2416,Issue: Payment gateway timeout occurred during checkout.,Payment gateway timeout occurred during checkout.,Payment,Medium
2417,Alert: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Medium
2418,Issue: EV-123 shows sudden battery drain even when parked.,EV-123 shows sudden battery drain even when parked.,Battery,High
2419,Alert: Driver flagged a scheduling conflict for the upcoming shift at Mumbai East Hub.,Driver flagged a scheduling conflict for the upcoming shift at Mumbai East Hub.,Driver,Low
2420,General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Low
2421,Report: EV-122 battery percentage is not increasing despite being connected at station 1.,EV-122 battery percentage is not increasing despite being connected at station 1.,Charging,Critical
2422,Issue: Driver flagged a scheduling conflict for the upcoming shift at Bangalore South Hub.,Driver flagged a scheduling conflict for the upcoming shift at Bangalore South Hub.,Driver,Medium
2423,Issue: Pune Central Hub requires additional staff during the evening peak hours.,Pune Central Hub requires additional staff during the evening peak hours.,Hub Operations,Critical
2424,Alert: Battery health indicator for EV-108 has degraded significantly this month.,Battery health indicator for EV-108 has degraded significantly this month.,Battery,High
2425,Report: Suggestion received to add more charging stations near Delhi North Hub.,Suggestion received to add more charging stations near Delhi North Hub.,Other,Low
2426,Report: Duplicate payment charged for a single ride.,Duplicate payment charged for a single ride.,Payment,High
2427,Alert: EV-102 dashboard display is flickering intermittently.,EV-102 dashboard display is flickering intermittently.,Vehicle,Medium
2428,Issue: EV-118 tyre pressure warning light is on.,EV-118 tyre pressure warning light is on.,Vehicle,High
2429,Driver flagged a scheduling conflict for the upcoming shift at Bangalore South Hub.,Driver flagged a scheduling conflict for the upcoming shift at Bangalore South Hub.,Driver,Medium
2430,Issue: Driver has not arrived for the assigned shift at Pune Central Hub.,Driver has not arrived for the assigned shift at Pune Central Hub.,Driver,Medium
2431,Alert: EV-120 requires software update for the onboard diagnostics system.,EV-120 requires software update for the onboard diagnostics system.,Maintenance,High
2432,Alert: Ride was cancelled midway without explanation for EV-105.,Ride was cancelled midway without explanation for EV-105.,Ride,Medium
2433,Issue: Customer support ticket unresolved for more than 3 days.,Customer support ticket unresolved for more than 3 days.,Customer,High
2434,Alert: General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Medium
2435,Alert: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Medium
2436,Report: Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,High
2437,Issue: Push notifications for ride status are not being delivered.,Push notifications for ride status are not being delivered.,Technical,Critical
2438,Alert: Customer reported a long detour during the ride.,Customer reported a long detour during the ride.,Ride,Low
2439,Report: Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,High
2440,Issue: EV-102 broke down during operation near Delhi North Hub.,EV-102 broke down during operation near Delhi North Hub.,Vehicle,High
2441,Report: Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,Medium
2442,Issue: GPS tracking for EV-104 is showing an incorrect location.,GPS tracking for EV-104 is showing an incorrect location.,Technical,Low
2443,EV-123 is due for scheduled maintenance and has not been serviced.,EV-123 is due for scheduled maintenance and has not been serviced.,Maintenance,Low
2444,Issue: Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,Medium
2445,Alert: Charging stops after a few minutes for EV-106 at station 1.,Charging stops after a few minutes for EV-106 at station 1.,Charging,Medium
2446,EV-117 is due for scheduled maintenance and has not been serviced.,EV-117 is due for scheduled maintenance and has not been serviced.,Maintenance,High
2447,Issue: Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,Medium
2448,Alert: EV-128 is due for scheduled maintenance and has not been serviced.,EV-128 is due for scheduled maintenance and has not been serviced.,Maintenance,High
2449,Alert: EV-102 broke down during operation near Pune Central Hub.,EV-102 broke down during operation near Pune Central Hub.,Vehicle,Medium
2450,"EV-109 shuts down unexpectedly, suspected battery fault.","EV-109 shuts down unexpectedly, suspected battery fault.",Battery,High
2451,Report: Customer was charged but booking was not confirmed.,Customer was charged but booking was not confirmed.,Customer,High
2452,Alert: Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,High
2453,Issue: Customer requested a refund for a cancelled ride.,Customer requested a refund for a cancelled ride.,Customer,High
2454,Issue: Customer reported a long detour during the ride.,Customer reported a long detour during the ride.,Ride,Low
2455,Issue: Customer complained about driver behavior during the ride.,Customer complained about driver behavior during the ride.,Customer,Medium
2456,Issue: Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,Medium
2457,Charging stops after a few minutes for EV-127 at station 1.,Charging stops after a few minutes for EV-127 at station 1.,Charging,High
2458,Delhi North Hub is operating near full capacity with no available parking.,Delhi North Hub is operating near full capacity with no available parking.,Hub Operations,High
2459,Report: EV-123 shows sudden battery drain even when parked.,EV-123 shows sudden battery drain even when parked.,Battery,Low
2460,Report: Ride pickup location did not match the app location.,Ride pickup location did not match the app location.,Ride,Medium
2461,Report: EV-103 maintenance was delayed due to parts unavailability.,EV-103 maintenance was delayed due to parts unavailability.,Maintenance,High
2462,Issue: Security gate at Bangalore South Hub is malfunctioning.,Security gate at Bangalore South Hub is malfunctioning.,Hub Operations,Medium
2463,Alert: EV-109 battery temperature is unusually high during operation.,EV-109 battery temperature is unusually high during operation.,Battery,Medium
2464,Report: Customer reported a long detour during the ride.,Customer reported a long detour during the ride.,Ride,Critical
2465,Alert: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,High
2466,Issue: Mobile app crashes when trying to book a ride from Bangalore South Hub.,Mobile app crashes when trying to book a ride from Bangalore South Hub.,Technical,Low
2467,Ride pickup location did not match the app location.,Ride pickup location did not match the app location.,Ride,Medium
2468,Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Low
2469,Bangalore South Hub requires additional staff during the evening peak hours.,Bangalore South Hub requires additional staff during the evening peak hours.,Hub Operations,Low
2470,"Report: EV-109 shuts down unexpectedly, suspected battery fault.","EV-109 shuts down unexpectedly, suspected battery fault.",Battery,Medium
2471,Alert: EV-118 is making unusual noise from the motor.,EV-118 is making unusual noise from the motor.,Vehicle,Critical
2472,Issue: Mumbai East Hub requires additional staff during the evening peak hours.,Mumbai East Hub requires additional staff during the evening peak hours.,Hub Operations,Low
2473,Issue: EV-109 AC is not working properly.,EV-109 AC is not working properly.,Vehicle,High
2474,Issue: EV-122 maintenance was delayed due to parts unavailability.,EV-122 maintenance was delayed due to parts unavailability.,Maintenance,High
2475,Report: Backend sync issue causing duplicate ride records at Delhi North Hub.,Backend sync issue causing duplicate ride records at Delhi North Hub.,Technical,High
2476,Alert: Customer waited significantly longer than the estimated arrival time.,Customer waited significantly longer than the estimated arrival time.,Ride,Medium
2477,Alert: Suggestion received to add more charging stations near Pune Central Hub.,Suggestion received to add more charging stations near Pune Central Hub.,Other,Low
2478,EV-113 shows charging error code and will not start charging.,EV-113 shows charging error code and will not start charging.,Charging,Low
2479,Alert: Customer was charged but booking was not confirmed.,Customer was charged but booking was not confirmed.,Customer,Medium
2480,Duplicate payment charged for a single ride.,Duplicate payment charged for a single ride.,Payment,Medium
2481,Report: Vehicle count mismatch found during the shift-change audit at Pune Central Hub.,Vehicle count mismatch found during the shift-change audit at Pune Central Hub.,Hub Operations,Low
2482,Report: EV-115 battery percentage is not increasing despite being connected at station 7.,EV-115 battery percentage is not increasing despite being connected at station 7.,Charging,Medium
2483,Report: Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,High
2484,Alert: Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,Medium
2485,Report: Refund for a cancelled ride has not been processed.,Refund for a cancelled ride has not been processed.,Payment,Low
2486,GPS tracking for EV-100 is showing an incorrect location.,GPS tracking for EV-100 is showing an incorrect location.,Technical,Medium
2487,Report: Battery percentage dropped unusually fast during the last trip for EV-103.,Battery percentage dropped unusually fast during the last trip for EV-103.,Battery,Critical
2488,Pune Central Hub reported a power outage affecting charging operations.,Pune Central Hub reported a power outage affecting charging operations.,Hub Operations,Low
2489,Issue: Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,High
2490,Report: Customer was charged but booking was not confirmed.,Customer was charged but booking was not confirmed.,Customer,Low
2491,Alert: Vehicle count mismatch found during the shift-change audit at Mumbai East Hub.,Vehicle count mismatch found during the shift-change audit at Mumbai East Hub.,Hub Operations,Critical
2492,Alert: Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,Medium
2493,Maintenance team flagged worn brake pads on EV-101.,Maintenance team flagged worn brake pads on EV-101.,Maintenance,Medium
2494,Issue: Suggestion received to add more charging stations near Bangalore South Hub.,Suggestion received to add more charging stations near Bangalore South Hub.,Other,Critical
2495,Issue: Backend sync issue causing duplicate ride records at Pune Central Hub.,Backend sync issue causing duplicate ride records at Pune Central Hub.,Technical,Low
2496,Report: Ride was cancelled midway without explanation for EV-112.,Ride was cancelled midway without explanation for EV-112.,Ride,Low
2497,Alert: Driver flagged a scheduling conflict for the upcoming shift at Mumbai East Hub.,Driver flagged a scheduling conflict for the upcoming shift at Mumbai East Hub.,Driver,Low
2498,Issue: Customer complained about driver behavior during the ride.,Customer complained about driver behavior during the ride.,Customer,High
2499,Report: Mobile app crashes when trying to book a ride from Pune Central Hub.,Mobile app crashes when trying to book a ride from Pune Central Hub.,Technical,Critical
2500,Alert: Charging cable at station 4 appears damaged and vehicle is not accepting charge.,Charging cable at station 4 appears damaged and vehicle is not accepting charge.,Charging,High
2501,Report: EV-115 brakes feel soft and need inspection.,EV-115 brakes feel soft and need inspection.,Vehicle,Critical
2502,Issue: Mobile app crashes when trying to book a ride from Bangalore South Hub.,Mobile app crashes when trying to book a ride from Bangalore South Hub.,Technical,High
2503,Alert: EV-110 tyre pressure warning light is on.,EV-110 tyre pressure warning light is on.,Vehicle,Medium
2504,Issue: Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,High
2505,Issue: Driver flagged a scheduling conflict for the upcoming shift at Pune Central Hub.,Driver flagged a scheduling conflict for the upcoming shift at Pune Central Hub.,Driver,High
2506,Issue: EV-123 brakes feel soft and need inspection.,EV-123 brakes feel soft and need inspection.,Vehicle,Low
2507,Report: Charging stops after a few minutes for EV-120 at station 2.,Charging stops after a few minutes for EV-120 at station 2.,Charging,Medium
2508,Alert: EV-108 battery temperature is unusually high during operation.,EV-108 battery temperature is unusually high during operation.,Battery,Medium
2509,Report: Push notifications for ride status are not being delivered.,Push notifications for ride status are not being delivered.,Technical,Low
2510,Alert: Duplicate payment charged for a single ride.,Duplicate payment charged for a single ride.,Payment,Medium
2511,Issue: EV-110 is due for scheduled maintenance and has not been serviced.,EV-110 is due for scheduled maintenance and has not been serviced.,Maintenance,Low
2512,Issue: Push notifications for ride status are not being delivered.,Push notifications for ride status are not being delivered.,Technical,Medium
2513,Backend sync issue causing duplicate ride records at Delhi North Hub.,Backend sync issue causing duplicate ride records at Delhi North Hub.,Technical,Low
2514,Issue: Driver flagged a scheduling conflict for the upcoming shift at Pune Central Hub.,Driver flagged a scheduling conflict for the upcoming shift at Pune Central Hub.,Driver,High
2515,Alert: EV-104 maintenance was delayed due to parts unavailability.,EV-104 maintenance was delayed due to parts unavailability.,Maintenance,High
2516,Alert: Customer complained about driver behavior during the ride.,Customer complained about driver behavior during the ride.,Customer,Critical
2517,Report: Payment gateway timeout occurred during checkout.,Payment gateway timeout occurred during checkout.,Payment,Medium
2518,"Report: EV-120 shuts down unexpectedly, suspected battery fault.","EV-120 shuts down unexpectedly, suspected battery fault.",Battery,Low
2519,Alert: Customer support ticket unresolved for more than 3 days.,Customer support ticket unresolved for more than 3 days.,Customer,Medium
2520,Report: Driver flagged a scheduling conflict for the upcoming shift at Pune Central Hub.,Driver flagged a scheduling conflict for the upcoming shift at Pune Central Hub.,Driver,Low
2521,EV-125 shows charging error code and will not start charging.,EV-125 shows charging error code and will not start charging.,Charging,Medium
2522,Alert: Mumbai East Hub reported a power outage affecting charging operations.,Mumbai East Hub reported a power outage affecting charging operations.,Hub Operations,High
2523,Pune Central Hub requires additional staff during the evening peak hours.,Pune Central Hub requires additional staff during the evening peak hours.,Hub Operations,High
2524,Report: Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,High
2525,Report: Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,Medium
2526,Issue: EV-114 battery percentage is not increasing despite being connected at station 5.,EV-114 battery percentage is not increasing despite being connected at station 5.,Charging,Medium
2527,Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,Medium
2528,Report: Payment gateway timeout occurred during checkout.,Payment gateway timeout occurred during checkout.,Payment,High
2529,Report: Mobile app crashes when trying to book a ride from Pune Central Hub.,Mobile app crashes when trying to book a ride from Pune Central Hub.,Technical,High
2530,Alert: Suggestion received to add more charging stations near Bangalore South Hub.,Suggestion received to add more charging stations near Bangalore South Hub.,Other,Low
2531,Issue: Routine inspection revealed a coolant leak in EV-123.,Routine inspection revealed a coolant leak in EV-123.,Maintenance,Medium
2532,Alert: General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Low
2533,Customer requested a refund for a cancelled ride.,Customer requested a refund for a cancelled ride.,Customer,Medium
2534,Report: Driver reported feeling unwell and requested a shift change.,Driver reported feeling unwell and requested a shift change.,Driver,Medium
2535,Report: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Low
2536,Alert: Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,Medium
2537,Alert: EV-105 shows sudden battery drain even when parked.,EV-105 shows sudden battery drain even when parked.,Battery,Critical
2538,Report: Maintenance team flagged worn brake pads on EV-118.,Maintenance team flagged worn brake pads on EV-118.,Maintenance,Low
2539,Issue: Driver was unreachable during the scheduled pickup window.,Driver was unreachable during the scheduled pickup window.,Driver,High
2540,Payment gateway timeout occurred during checkout.,Payment gateway timeout occurred during checkout.,Payment,Low
2541,Refund for a cancelled ride has not been processed.,Refund for a cancelled ride has not been processed.,Payment,Medium
2542,Alert: Query raised about the loyalty rewards program.,Query raised about the loyalty rewards program.,Other,Critical
2543,General feedback submitted about the overall service experience.,General feedback submitted about the overall service experience.,Other,Low
2544,Issue: EV-106 broke down during operation near Mumbai East Hub.,EV-106 broke down during operation near Mumbai East Hub.,Vehicle,High
2545,Alert: EV-106 shows sudden battery drain even when parked.,EV-106 shows sudden battery drain even when parked.,Battery,Critical
2546,Report: Mobile app crashes when trying to book a ride from Mumbai East Hub.,Mobile app crashes when trying to book a ride from Mumbai East Hub.,Technical,Critical
2547,Issue: Customer support ticket unresolved for more than 3 days.,Customer support ticket unresolved for more than 3 days.,Customer,Medium
2548,Alert: Driver flagged a scheduling conflict for the upcoming shift at Pune Central Hub.,Driver flagged a scheduling conflict for the upcoming shift at Pune Central Hub.,Driver,Critical
2549,Issue: EV-127 dashboard display is flickering intermittently.,EV-127 dashboard display is flickering intermittently.,Vehicle,Low
2550,Issue: EV-105 shows charging error code and will not start charging.,EV-105 shows charging error code and will not start charging.,Charging,Medium
2551,Issue: Mumbai East Hub requires additional staff during the evening peak hours.,Mumbai East Hub requires additional staff during the evening peak hours.,Hub Operations,Medium
2552,Report: Ride pickup location did not match the app location.,Ride pickup location did not match the app location.,Ride,Medium
2553,Alert: Customer support ticket unresolved for more than 3 days.,Customer support ticket unresolved for more than 3 days.,Customer,Critical
2554,Report: Delhi North Hub requires additional staff during the evening peak hours.,Delhi North Hub requires additional staff during the evening peak hours.,Hub Operations,High
2555,Alert: EV-122 brakes feel soft and need inspection.,EV-122 brakes feel soft and need inspection.,Vehicle,Low
2556,Alert: Refund for a cancelled ride has not been processed.,Refund for a cancelled ride has not been processed.,Payment,Medium
2557,Issue: Bangalore South Hub reported a power outage affecting charging operations.,Bangalore South Hub reported a power outage affecting charging operations.,Hub Operations,Low
2558,Issue: Battery health indicator for EV-110 has degraded significantly this month.,Battery health indicator for EV-110 has degraded significantly this month.,Battery,Low
2559,Report: EV-104 is not charging at station 5.,EV-104 is not charging at station 5.,Charging,Medium
2560,Issue: EV-104 battery temperature is unusually high during operation.,EV-104 battery temperature is unusually high during operation.,Battery,Medium
2561,Report: Driver has not arrived for the assigned shift at Delhi North Hub.,Driver has not arrived for the assigned shift at Delhi North Hub.,Driver,Critical
2562,Alert: Miscellaneous request that does not fit an existing category.,Miscellaneous request that does not fit an existing category.,Other,Medium
2563,Driver payout for last week's shifts is showing as pending.,Driver payout for last week's shifts is showing as pending.,Payment,Medium
2564,EV-127 brakes feel soft and need inspection.,EV-127 brakes feel soft and need inspection.,Vehicle,High
2565,Report: Ride fare shown at the end did not match the estimate.,Ride fare shown at the end did not match the estimate.,Ride,Medium
2566,Report: Customer requested a refund for a cancelled ride.,Customer requested a refund for a cancelled ride.,Customer,Low
2567,Report: Customer payment was successful but booking was not confirmed.,Customer payment was successful but booking was not confirmed.,Payment,Low
2568,Issue: Driver requested additional training on the new vehicle model.,Driver requested additional training on the new vehicle model.,Driver,Medium
2569,EV-128 is due for scheduled maintenance and has not been serviced.,EV-128 is due for scheduled maintenance and has not been serviced.,Maintenance,High
2570,Report: EV-122 AC is not working properly.,EV-122 AC is not working properly.,Vehicle,Critical
2571,Report: Backend sync issue causing duplicate ride records at Delhi North Hub.,Backend sync issue causing duplicate ride records at Delhi North Hub.,Technical,High
2572,Alert: Customer reported the vehicle was not clean on pickup.,Customer reported the vehicle was not clean on pickup.,Customer,Medium
2573,Issue: Refund for a cancelled ride has not been processed.,Refund for a cancelled ride has not been processed.,Payment,High
2574,Report: Customer complained about driver behavior during the ride.,Customer complained about driver behavior during the ride.,Customer,High
2575,Battery health indicator for EV-101 has degraded significantly this month.,Battery health indicator for EV-101 has degraded significantly this month.,Battery,Low
2576,Report: EV-114 broke down during operation near Mumbai East Hub.,EV-114 broke down during operation near Mumbai East Hub.,Vehicle,High
2577,Report: Bangalore South Hub requires additional staff during the evening peak hours.,Bangalore South Hub requires additional staff during the evening peak hours.,Hub Operations,High
2578,Issue: Delhi North Hub requires additional staff during the evening peak hours.,Delhi North Hub requires additional staff during the evening peak hours.,Hub Operations,Low
